Node,intreface,ip,,,Node,interface,ip,,Node,interface,ip,,Node,interface,ip
R1,F1/0,10.10.10.1,,,R4,F1/0,10.10.12.2,,R7,F1/0,10.10.15.2,,R10,F1/0,10.10.18.2
,F1/1,10.10.11.1,,,,F1/1,10.10.20.2,,,F1/1,10.10.23.2,,,F1/1,10.10.26.2
,F1/2,10.10.12.1,,,,F1/2,10.10.27.2,,,F1/2,10.10.30.2,,,F1/2,10.10.33.2
,F1/3,10.10.13.1,,,,F1/3,10.10.34.1,,,F1/3,10.10.36.2,,,F1/3,10.10.39.2
,F1/4,10.10.14.1,,,,F1/4,10.10.35.1,,,F1/4,10.10.41.2,,,F1/4,10.10.44.2
,F1/5,10.10.15.1,,,,F1/5,10.10.36.1,,,F1/5,10.10.45.2,,,F1/5,10.10.48.2
,F1/6,10.10.16.1,,,,F1/6,10.10.37.1,,,F1/6,10.10.49.1,,,F1/6,10.10.51.2
,F1/7,10.10.17.1,,,,F1/7,10.10.38.1,,,F1/7,10.10.50.1,,,F1/7,10.10.53.2
,F1/8,10.10.18.1,,,,F1/8,10.10.39.1,,,F1/8,10.10.51.1,,,F1/8,10.10.54.2
R2,F1/0,10.10.10.2,,,R5,F1/0,10.10.13.2,,R8,F1/0,10.10.16.2,,,,
,F1/1,10.10.19.1,,,,F1/1,10.10.21.2,,,F1/1,10.10.24.2,,,,
,F1/2,10.10.20.1,,,,F1/2,10.10.28.2,,,F1/2,10.10.31.2,,,,
,F1/3,10.10.21.1,,,,F1/3,10.10.34.2,,,F1/3,10.10.37.2,,,,
,F1/4,10.10.22.1,,,,F1/4,10.10.40.1,,,F1/4,10.10.42.2,,,,
,F1/5,10.10.23.1,,,,F1/5,10.10.41.1,,,F1/5,10.10.46.2,,,,
,F1/6,10.10.24.1,,,,F1/6,10.10.42.1,,,F1/6,10.10.49.2,,,,
,F1/7,10.10.25.1,,,,F1/7,10.10.43.1,,,F1/7,10.10.52.1,,,,
,F1/8,10.10.26.1,,,,F1/8,10.10.44.1,,,F1/8,10.10.53.1,,,,
R3,F1/0,10.10.11.2,,,R6,F1/0,10.10.14.2,,R9,F1/0,10.10.17.2,,,,
,F1/1,10.10.19.2,,,,F1/1,10.10.22.2,,,F1/1,10.10.25.2,,,,
,F1/2,10.10.27.1,,,,F1/2,10.10.29.2,,,F1/2,10.10.32.2,,,,
,F1/3,10.10.28.1,,,,F1/3,10.10.35.2,,,F1/3,10.10.38.2,,,,
,F1/4,10.10.29.1,,,,F1/4,10.10.40.2,,,F1/4,10.10.43.2,,,,
,F1/5,10.10.30.1,,,,F1/5,10.10.45.1,,,F1/5,10.10.47.2,,,,
,F1/6,10.10.31.1,,,,F1/6,10.10.46.1,,,F1/6,10.10.50.2,,,,
,F1/7,10.10.32.1,,,,F1/7,10.10.47.1,,,F1/7,10.10.52.2,,,,
,F1/8,10.10.33.1,,,,F1/8,10.10.48.1,,,F1/8,10.10.54.1,,,,
