Node,intreface,ip,network
R1,F1/0,10.10.10.1,10.10.10.0
,F1/1,10.10.11.1,10.10.11.0
,F1/2,10.10.12.1,10.10.12.0
,F1/3,10.10.13.1,10.10.13.0
,F1/4,10.10.14.1,10.10.14.0
,F1/5,10.10.15.1,10.10.15.0
,F1/6,10.10.16.1,10.10.16.0
,F1/7,10.10.17.1,10.10.17.0
,F1/8,10.10.18.1,10.10.18.0
R2,F1/0,10.10.10.2,10.10.10.0
,F1/1,10.10.19.1,10.10.19.0
,F1/2,10.10.20.1,10.10.20.0
,F1/3,10.10.21.1,10.10.21.0
,F1/4,10.10.22.1,10.10.22.0
,F1/5,10.10.23.1,10.10.23.0
,F1/6,10.10.24.1,10.10.24.0
,F1/7,10.10.25.1,10.10.25.0
,F1/8,10.10.26.1,10.10.26.0
R3,F1/0,10.10.11.2,10.10.11.0
,F1/1,10.10.19.2,10.10.19.0
,F1/2,10.10.27.1,10.10.27.0
,F1/3,10.10.28.1,10.10.28.0
,F1/4,10.10.29.1,10.10.29.0
,F1/5,10.10.30.1,10.10.30.0
,F1/6,10.10.31.1,10.10.31.0
,F1/7,10.10.32.1,10.10.32.0
,F1/8,10.10.33.1,10.10.33.0
R4,F1/0,10.10.12.2,10.10.12.0
,F1/1,10.10.20.2,10.10.20.0
,F1/2,10.10.27.2,10.10.27.0
,F1/3,10.10.34.1,10.10.34.0
,F1/4,10.10.35.1,10.10.35.0
,F1/5,10.10.36.1,10.10.36.0
,F1/6,10.10.37.1,10.10.37.0
,F1/7,10.10.38.1,10.10.38.0
,F1/8,10.10.39.1,10.10.39.0
R5,F1/0,10.10.13.2,10.10.13.0
,F1/1,10.10.21.2,10.10.21.0
,F1/2,10.10.28.2,10.10.28.0
,F1/3,10.10.34.2,10.10.34.0
,F1/4,10.10.40.1,10.10.40.0
,F1/5,10.10.41.1,10.10.41.0
,F1/6,10.10.42.1,10.10.42.0
,F1/7,10.10.43.1,10.10.43.0
,F1/8,10.10.44.1,10.10.44.0
R6,F1/0,10.10.14.2,10.10.14.0
,F1/1,10.10.22.2,10.10.22.0
,F1/2,10.10.29.2,10.10.29.0
,F1/3,10.10.35.2,10.10.35.0
,F1/4,10.10.40.2,10.10.40.0
,F1/5,10.10.45.1,10.10.45.0
,F1/6,10.10.46.1,10.10.46.0
,F1/7,10.10.47.1,10.10.47.0
,F1/8,10.10.48.1,10.10.48.0
R7,F1/0,10.10.15.2,10.10.15.0
,F1/1,10.10.23.2,10.10.23.0
,F1/2,10.10.30.2,10.10.30.0
,F1/3,10.10.36.2,10.10.36.0
,F1/4,10.10.41.2,10.10.41.0
,F1/5,10.10.45.2,10.10.45.0
,F1/6,10.10.49.1,10.10.49.0
,F1/7,10.10.50.1,10.10.50.0
,F1/8,10.10.51.1,10.10.51.0
R8,F1/0,10.10.16.2,10.10.16.0
,F1/1,10.10.24.2,10.10.24.0
,F1/2,10.10.31.2,10.10.31.0
,F1/3,10.10.37.2,10.10.37.0
,F1/4,10.10.42.2,10.10.42.0
,F1/5,10.10.46.2,10.10.46.0
,F1/6,10.10.49.2,10.10.49.0
,F1/7,10.10.52.1,10.10.52.0
,F1/8,10.10.53.1,10.10.53.0
R9,F1/0,10.10.17.2,10.10.17.0
,F1/1,10.10.25.2,10.10.25.0
,F1/2,10.10.32.2,10.10.32.0
,F1/3,10.10.38.2,10.10.38.0
,F1/4,10.10.43.2,10.10.43.0
,F1/5,10.10.47.2,10.10.47.0
,F1/6,10.10.50.2,10.10.50.0
,F1/7,10.10.52.2,10.10.52.0
,F1/8,10.10.54.1,10.10.54.0
R10,F1/0,10.10.18.2,10.10.18.0
,F1/1,10.10.26.2,10.10.26.0
,F1/2,10.10.33.2,10.10.33.0
,F1/3,10.10.39.2,10.10.39.0
,F1/4,10.10.44.2,10.10.44.0
,F1/5,10.10.48.2,10.10.48.0
,F1/6,10.10.51.2,10.10.51.0
,F1/7,10.10.53.2,10.10.53.0
,F1/8,10.10.54.2,10.10.54.0
