Node,intreface,ip,network
R1,F1/0,10.10.10.1,10.10.10.0
,F1/1,10.10.11.1,10.10.11.0
,F1/2,10.10.12.1,10.10.12.0
,F1/3,10.10.13.1,10.10.13.0
,F1/4,10.10.14.1,10.10.14.0
,F1/5,10.10.15.1,10.10.15.0
,F1/6,10.10.16.1,10.10.16.0
,F1/7,10.10.17.1,10.10.17.0
,F1/8,10.10.18.1,10.10.18.0
R2,F1/0,10.10.10.2,10.10.10.0
,F1/1,10.10.119.1,10.10.119.0
,F1/2,10.10.120.1,10.10.120.0
,F1/3,10.10.121.1,10.10.121.0
,F1/4,10.10.122.1,10.10.122.0
,F1/5,10.10.123.1,10.10.123.0
,F1/6,10.10.124.1,10.10.124.0
,F1/7,10.10.125.1,10.10.125.0
,F1/8,10.10.126.1,10.10.126.0
R3,F1/0,10.10.11.2,10.10.11.0
,F1/1,10.10.119.2,10.10.119.0
,F1/2,10.10.127.1,10.10.127.0
,F1/3,10.10.128.1,10.10.128.0
,F1/4,10.10.129.1,10.10.129.0
,F1/5,10.10.130.1,10.10.130.0
,F1/6,10.10.131.1,10.10.131.0
,F1/7,10.10.132.1,10.10.132.0
,F1/8,10.10.133.1,10.10.133.0
R4,F1/0,10.10.12.2,10.10.12.0
,F1/1,10.10.120.2,10.10.120.0
,F1/2,10.10.127.2,10.10.127.0
,F1/3,10.10.134.1,10.10.134.0
,F1/4,10.10.135.1,10.10.135.0
,F1/5,10.10.136.1,10.10.136.0
,F1/6,10.10.137.1,10.10.137.0
,F1/7,10.10.138.1,10.10.138.0
,F1/8,10.10.139.1,10.10.139.0
R5,F1/0,10.10.13.2,10.10.13.0
,F1/1,10.10.121.2,10.10.121.0
,F1/2,10.10.128.2,10.10.128.0
,F1/3,10.10.134.2,10.10.134.0
,F1/4,10.10.140.1,10.10.140.0
,F1/5,10.10.141.1,10.10.141.0
,F1/6,10.10.142.1,10.10.142.0
,F1/7,10.10.143.1,10.10.143.0
,F1/8,10.10.144.1,10.10.144.0
R6,F1/0,10.10.14.2,10.10.14.0
,F1/1,10.10.122.2,10.10.122.0
,F1/2,10.10.129.2,10.10.129.0
,F1/3,10.10.135.2,10.10.135.0
,F1/4,10.10.140.2,10.10.140.0
,F1/5,10.10.145.1,10.10.145.0
,F1/6,10.10.146.1,10.10.146.0
,F1/7,10.10.147.1,10.10.147.0
,F1/8,10.10.148.1,10.10.148.0
R7,F1/0,10.10.15.2,10.10.15.0
,F1/1,10.10.123.2,10.10.123.0
,F1/2,10.10.130.2,10.10.130.0
,F1/3,10.10.136.2,10.10.136.0
,F1/4,10.10.141.2,10.10.141.0
,F1/5,10.10.145.2,10.10.145.0
,F1/6,10.10.149.1,10.10.149.0
,F1/7,10.10.150.1,10.10.150.0
,F1/8,10.10.151.1,10.10.151.0
R8,F1/0,10.10.16.2,10.10.16.0
,F1/1,10.10.124.2,10.10.124.0
,F1/2,10.10.131.2,10.10.131.0
,F1/3,10.10.137.2,10.10.137.0
,F1/4,10.10.142.2,10.10.142.0
,F1/5,10.10.146.2,10.10.146.0
,F1/6,10.10.149.2,10.10.149.0
,F1/7,10.10.152.1,10.10.152.0
,F1/8,10.10.153.1,10.10.153.0
R9,F1/0,10.10.17.2,10.10.17.0
,F1/1,10.10.125.2,10.10.125.0
,F1/2,10.10.132.2,10.10.132.0
,F1/3,10.10.138.2,10.10.138.0
,F1/4,10.10.143.2,10.10.143.0
,F1/5,10.10.147.2,10.10.147.0
,F1/6,10.10.150.2,10.10.150.0
,F1/7,10.10.152.2,10.10.152.0
,F1/8,10.10.154.1,10.10.154.0
R10,F1/0,10.10.18.2,10.10.18.0
,F1/1,10.10.126.2,10.10.126.0
,F1/2,10.10.133.2,10.10.133.0
,F1/3,10.10.139.2,10.10.139.0
,F1/4,10.10.144.2,10.10.144.0
,F1/5,10.10.148.2,10.10.148.0
,F1/6,10.10.151.2,10.10.151.0
,F1/7,10.10.153.2,10.10.153.0
,F1/8,10.10.154.2,10.10.154.0
