Node,intreface,ip,,Node,intreface,ip,,Node,intreface,ip
R1,F1/0,10.10.10.1,,R6,F1/0,10.10.14.2,,R11,F1/0,10.10.19.2
,F1/1,10.10.11.1,,,F1/1,10.10.27.2,,,F1/1,10.10.32.2
,F1/2,10.10.12.1,,,F1/2,10.10.39.2,,,F1/2,10.10.44.2
,F1/3,10.10.13.1,,,F1/3,10.10.50.2,,,F1/3,10.10.55.2
,F1/4,10.10.14.1,,,F1/4,10.10.60.2,,,F1/4,10.10.65.2
,F1/5,10.10.15.1,,,F1/5,10.10.70.1,,,F1/5,10.10.74.2
,F1/6,10.10.16.1,,,F1/6,10.10.71.1,,,F1/6,10.10.82.1
,F1/7,10.10.17.1,,,F1/7,10.10.72.1,,,F1/7,10.10.89.2
,F1/8,10.10.18.1,,,F1/8,10.10.73.1,,,F1/8,10.10.95.2
,F1/9,10.10.19.1,,,F1/9,10.10.74.1,,,F1/9,10.10.100.2
,F1/10,10.10.20.1,,,F1/10,10.10.75.1,,,F1/10,10.10.105.1
,F1/11,10.10.21.1,,,F1/11,10.10.76.1,,,F1/11,10.10.106.1
,F1/12,10.10.22.1,,,F1/12,10.10.77.1,,,F1/12,10.10.107.1
,F1/13,10.10.23.1,,,F1/13,10.10.78.1,,,F1/13,10.10.108.1
R2,F1/0,10.10.10.2,,R7,F1/0,10.10.15.2,,R12,F1/0,10.10.20.2
,F1/1,10.10.24.1,,,F1/1,10.10.28.2,,,F1/1,10.10.33.2
,F1/2,10.10.25.1,,,F1/2,10.10.40.2,,,F1/2,10.10.45.2
,F1/3,10.10.26.1,,,F1/3,10.10.51.2,,,F1/3,10.10.56.2
,F1/4,10.10.27.1,,,F1/4,10.10.61.2,,,F1/4,10.10.66.2
,F1/5,10.10.28.1,,,F1/5,10.10.70.2,,,F1/5,10.10.75.2
,F1/6,10.10.29.1,,,F1/6,10.10.79.1,,,F1/6,10.10.83.1
,F1/7,10.10.30.1,,,F1/7,10.10.80.1,,,F1/7,10.10.90.2
,F1/8,10.10.31.1,,,F1/8,10.10.81.1,,,F1/8,10.10.96.2
,F1/9,10.10.32.1,,,F1/9,10.10.82.1,,,F1/9,10.10.101.2
,F1/10,10.10.33.1,,,F1/10,10.10.83.1,,,F1/10,10.10.105.2
,F1/11,10.10.34.1,,,F1/11,10.10.84.1,,,F1/11,10.10.109.1
,F1/12,10.10.35.1,,,F1/12,10.10.85.1,,,F1/12,10.10.110.1
,F1/13,10.10.36.1,,,F1/13,10.10.86.1,,,F1/13,10.10.111.1
